Question,Expected Output,Answer (Query)
76. Course Materials: Combine Courses and Materials to list courses with their materials.,"course_name = ""Machine Learning"", material_name = ""Lecture Notes"""," SELECT Courses.name, Materials.material_name FROM Courses INNER JOIN Materials ON Courses.material_id = Materials.id;"
77. Job Applicants: Retrieve job applicants with their respective job postings.,"applicant_name = ""Ethan Adams"", job_title = ""Marketing Manager"""," SELECT Applicants.name, Jobs.job_title FROM Applicants INNER JOIN Jobs ON Applicants.job_id = Jobs.id;"
78. Product Discounts: Show products and their discount rates.,"product_name = ""Washing Machine"", discount_rate = ""15%"""," SELECT Products.product_name, Discounts.discount_rate FROM Products INNER JOIN Discounts ON Products.discount_id = Discounts.id;"
79. Rental Agreements: List rental agreements with the tenants' names.,"agreement_id = 4601, tenant_name = ""Emily Brown"""," SELECT RentalAgreements.agreement_id, Tenants.name FROM RentalAgreements INNER JOIN Tenants ON RentalAgreements.tenant_id = Tenants.id;"
80. Patient Prescriptions: Combine Prescriptions and Doctors to show prescriptions with doctor details.,"prescription_id = 4701, doctor_name = ""Dr. Harris"""," SELECT Prescriptions.prescription_id, Doctors.name FROM Prescriptions INNER JOIN Doctors ON Prescriptions.doctor_id = Doctors.id;"
81. Supplier Orders: Show orders and their suppliers.,"order_id = 4801, supplier_name = ""Food Supply Co."""," SELECT Orders.order_id, Suppliers.supplier_name FROM Orders INNER JOIN Suppliers ON Orders.supplier_id = Suppliers.id;"
82. Employee Benefits: Retrieve employees and their benefit plans.,"employee_name = ""Rachel Green"", benefit_plan = ""Health Insurance"""," SELECT Employees.name, BenefitPlans.plan_name FROM Employees INNER JOIN BenefitPlans ON Employees.benefit_plan_id = BenefitPlans.id;"
83. Delivery Locations: List deliveries with their destination locations.,"delivery_id = 4901, location = ""789 Pine St"""," SELECT Deliveries.delivery_id, Locations.location_name FROM Deliveries INNER JOIN Locations ON Deliveries.location_id = Locations.id;"
84. Training Programs: Show training programs with their trainers.,"training_program_name = ""Leadership Essentials"", trainer_name = ""Michael Johnson"""," SELECT TrainingPrograms.name, Trainers.name FROM TrainingPrograms INNER JOIN Trainers ON TrainingPrograms.trainer_id = Trainers.id;"
85. Event Locations: Retrieve events and their locations.,"event_name = ""Tech Conference"", location = ""Convention Center"""," SELECT Events.name, Locations.location_name FROM Events INNER JOIN Locations ON Events.location_id = Locations.id;"
86. Customer Orders: List orders with customer names and order amounts.,"order_id = 5001, customer_name = ""Linda White"", order_amount = ""$250.00"""," SELECT Orders.order_id, Customers.name, Orders.amount FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;"
87. Product Reviews: Combine Products and Reviews to show product reviews with ratings.,"product_name = ""Electric Kettle"", review_rating = ""4 stars"""," SELECT Products.product_name, Reviews.rating FROM Reviews INNER JOIN Products ON Reviews.product_id = Products.id;"
88. Maintenance Requests: Show maintenance requests with their statuses.,"request_id = 5101, status = ""Completed"""," SELECT MaintenanceRequests.request_id, Statuses.status_name FROM MaintenanceRequests INNER JOIN Statuses ON MaintenanceRequests.status_id = Statuses.id;"
89. Subscription Services: List subscriptions and their service details.,"subscription_id = 5201, service_name = ""Online Storage"""," SELECT Subscriptions.subscription_id, Services.service_name FROM Subscriptions INNER JOIN Services ON Subscriptions.service_id = Services.id;"
90. Shipment Tracking: Retrieve shipments with tracking information.,"shipment_id = 5301, tracking_number = ""1Z9999999999999999"""," SELECT Shipments.shipment_id, TrackingInfo.tracking_number FROM Shipments INNER JOIN TrackingInfo ON Shipments.tracking_id = TrackingInfo.id;"
91. Staff Meetings: List meetings with their staff attendees.,"meeting_id = 5401, staff_name = ""George Harris"""," SELECT Meetings.meeting_id, Staff.name FROM Meetings INNER JOIN Staff ON Meetings.staff_id = Staff.id;"
92. Rental Equipment: Show rental agreements with equipment details.,"rental_id = 5501, equipment_name = ""Laptop"""," SELECT RentalAgreements.rental_id, Equipment.name FROM RentalAgreements INNER JOIN Equipment ON RentalAgreements.equipment_id = Equipment.id;"
93. Service Feedback: Retrieve feedback with service details.,"feedback_id = 5601, service_name = ""Home Cleaning"", feedback_comments = ""Very satisfied"""," SELECT Feedback.feedback_id, Services.service_name, Feedback.comments FROM Feedback INNER JOIN Services ON Feedback.service_id = Services.id;"
94. Membership Transactions: List transactions with membership details.,"transaction_id = 5701, membership_type = ""Gold"", amount = ""$200.00"""," SELECT Transactions.transaction_id, Memberships.membership_type, Transactions.amount FROM Transactions INNER JOIN Memberships ON Transactions.membership_id = Memberships.id;"
95. Purchase Returns: Show purchase returns with product details.,"return_id = 5801, product_name = ""Office Chair"", return_reason = ""Defective"""," SELECT Returns.return_id, Products.product_name, Returns.reason FROM Returns INNER JOIN Products ON Returns.product_id = Products.id;"
96. Product Inventory: Combine Inventory and Products to list inventory levels with product names.,"inventory_id = 5901, product_name = ""Desk Lamp"", quantity_in_stock = 20"," SELECT Inventory.inventory_id, Products.product_name, Inventory.quantity FROM Inventory INNER JOIN Products ON Inventory.product_id = Products.id;"
97. Employee Shifts: List shifts and the employees assigned to them.,"shift_id = 6001, employee_name = ""Julia Roberts"", shift_time = ""09:00 - 17:00"""," SELECT Shifts.shift_id, Employees.name, Shifts.shift_time FROM Shifts INNER JOIN Employees ON Shifts.employee_id = Employees.id;"
98. Product Orders: Show orders with product names and quantities.,"order_id = 6101, product_name = ""Electric Drill"", quantity = 3"," SELECT Orders.order_id, Products.product_name, Orders.quantity FROM Orders INNER JOIN Products ON Orders.product_id = Products.id;"
99. Subscription Renewals: Retrieve subscription renewals with their plan details.,"renewal_id = 6201, plan_name = ""Standard"", renewal_date = ""2024-08-10"""," SELECT Renewals.renewal_id, Plans.plan_name, Renewals.renewal_date FROM Renewals INNER JOIN Plans ON Renewals.plan_id = Plans.id;"
100. Project Budgets: Show projects with their budget information.,"project_name = ""Website Revamp"", budget = ""$10,000"""," SELECT Projects.project_name, Budgets.amount FROM Projects INNER JOIN Budgets ON Projects.budget_id = Budgets.id;"
101. Customer Support Tickets: List support tickets with customer names.,"ticket_id = 6301, customer_name = ""Nancy Evans"", issue = ""Login problem"""," SELECT SupportTickets.ticket_id, Customers.name, SupportTickets.issue FROM SupportTickets INNER JOIN Customers ON SupportTickets.customer_id = Customers.id;"
102. Supplier Contacts: Combine suppliers with their contact information.,"supplier_name = ""Grocery Supply Inc."", contact_name = ""John Doe"""," SELECT Suppliers.supplier_name, Contacts.contact_name FROM Suppliers INNER JOIN Contacts ON Suppliers.contact_id = Contacts.id;"
103. Training Enrollment: Retrieve training sessions and enrolled participants.,"session_id = 6401, participant_name = ""Laura Smith"""," SELECT TrainingSessions.session_id, Participants.name FROM Enrollments INNER JOIN TrainingSessions ON Enrollments.session_id = TrainingSessions.id INNER JOIN Participants ON Enrollments.participant_id = Participants.id;"
104. Service Providers: List service providers and their service types.,"provider_name = ""Elite Services"", service_type = ""Plumbing"""," SELECT ServiceProviders.provider_name, Services.service_type FROM ServiceProviders INNER JOIN Services ON ServiceProviders.service_id = Services.id;"
105. Invoice Items: Show invoices with item details.,"invoice_id = 6501, item_description = ""Office Desk"", amount = ""$300.00"""," SELECT Invoices.invoice_id, InvoiceItems.item_description, InvoiceItems.amount FROM Invoices INNER JOIN InvoiceItems ON Invoices.id = InvoiceItems.invoice_id;"
106. Warehouse Locations: Retrieve warehouse locations and their addresses.,"warehouse_id = 6601, address = ""100 Industrial Park"""," SELECT Warehouses.warehouse_id, Addresses.address FROM Warehouses INNER JOIN Addresses ON Warehouses.address_id = Addresses.id;"
107. Patient Appointments: Show patient appointments with doctor names.,"appointment_id = 6701, patient_name = ""Michael Taylor"", doctor_name = ""Dr. Patel"""," SELECT Appointments.appointment_id, Patients.name, Doctors.name FROM Appointments INNER JOIN Patients ON Appointments.patient_id = Patients.id INNER JOIN Doctors ON Appointments.doctor_id = Doctors.id;"
108. Job Candidates: List job postings with candidate names.,"job_id = 6801, candidate_name = ""Samantha Clark"""," SELECT Jobs.job_id, Candidates.name FROM JobApplications INNER JOIN Jobs ON JobApplications.job_id = Jobs.id INNER JOIN Candidates ON JobApplications.candidate_id = Candidates.id;"
109. Supplier Orders: Combine supplier orders with their products.,"order_id = 6901, product_name = ""Cleaning Supplies"", order_amount = ""$500.00"""," SELECT SupplierOrders.order_id, Products.product_name, SupplierOrders.order_amount FROM SupplierOrders INNER JOIN Products ON SupplierOrders.product_id = Products.id;"
110. Course Enrollment: Show enrolled students and their courses.,"student_name = ""Emma Wilson"", course_name = ""Data Science 101"""," SELECT Enrollments.student_name, Courses.course_name FROM Enrollments INNER JOIN Courses ON Enrollments.course_id = Courses.id;"
111. Conference Sessions: Retrieve conference sessions and their speakers.,"session_id = 7001, speaker_name = ""Dr. Martin King"""," SELECT Sessions.session_id, Speakers.name FROM Sessions INNER JOIN Speakers ON Sessions.speaker_id = Speakers.id;"
112. Inventory Management: Show inventory items with their suppliers.,"inventory_id = 7101, item_name = ""Laptop Stand"", supplier_name = ""Tech Essentials"""," SELECT Inventory.inventory_id, InventoryItems.item_name, Suppliers.supplier_name FROM Inventory INNER JOIN InventoryItems ON Inventory.item_id = InventoryItems.id INNER JOIN Suppliers ON InventoryItems.supplier_id = Suppliers.id;"
113. Employee Leave: List leave requests with employee names and leave dates.,"leave_id = 7201, employee_name = ""James Carter"", leave_date = ""2024-09-01"""," SELECT LeaveRequests.leave_id, Employees.name, LeaveRequests.leave_date FROM LeaveRequests INNER JOIN Employees ON LeaveRequests.employee_id = Employees.id;"
114. Shipping Details: Show shipping records with product details.,"shipping_id = 7301, product_name = ""Smartphone"", shipping_status = ""Shipped"""," SELECT ShippingRecords.shipping_id, Products.product_name, ShippingRecords.status FROM ShippingRecords INNER JOIN Products ON ShippingRecords.product_id = Products.id;"
115. Feedback Surveys: Retrieve survey feedback with respondent names.,"survey_id = 7401, respondent_name = ""Kevin Jones"", feedback_score = ""8/10"""," SELECT Surveys.survey_id, Respondents.name, Surveys.feedback_score FROM Surveys INNER JOIN Respondents ON Surveys.respondent_id = Respondents.id;"
116. Library Loans: List library books with loan details.,"loan_id = 7501, book_title = ""The Catcher in the Rye"", loan_date = ""2024-08-05"""," SELECT Loans.loan_id, Books.title, Loans.loan_date FROM Loans INNER JOIN Books ON Loans.book_id = Books.id;"
117. Vendor Services: Show services provided by vendors.,"vendor_name = ""Tech Solutions"", service_name = ""IT Support"""," SELECT Vendors.vendor_name, Services.service_name FROM Vendors INNER JOIN Services ON Vendors.service_id = Services.id;"
118. Product Returns: Retrieve product returns and their reasons.,"return_id = 7601, product_name = ""Washing Machine"", return_reason = ""Defective"""," SELECT ProductReturns.return_id, Products.product_name, ProductReturns.reason FROM ProductReturns INNER JOIN Products ON ProductReturns.product_id = Products.id;"
119. Event Schedules: Show events and their scheduled times.,"event_id = 7701, event_name = ""Annual Meeting"", scheduled_time = ""2024-09-15 10:00 AM"""," SELECT Events.event_id, Events.event_name, Events.scheduled_time FROM Events;"
120. Appointment Types: Combine Appointments and AppointmentTypes to show appointment types with details.,"appointment_id = 7801, appointment_type = ""Consultation"", details = ""Initial consultation for new patients"""," SELECT Appointments.appointment_id, AppointmentTypes.type_name, AppointmentTypes.details FROM Appointments INNER JOIN AppointmentTypes ON Appointments.appointment_type_id = AppointmentTypes.id;"
53. What are the differences between SQL and NoSQL databases?,"SQL is structured with fixed schemas, while NoSQL is flexible with dynamic schemas.",-
54. How do you list all columns in a table?,"column1, column2, column3",SELECT COLUMN_NAME FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME = 'table_name';
55. How do you retrieve unique values from a column?,"value1, value2",SELECT DISTINCT column_name FROM table_name;
56. How do you calculate the total number of orders for each product?,"product_id = 101, order_count = 50","SELECT product_id, COUNT(order_id) as order_count FROM orders GROUP BY product_id;"
57. How do you find the average transaction value for each customer?,"customer_id = 305, avg_transaction_value = 250","SELECT customer_id, AVG(amount) as avg_transaction_value FROM transactions GROUP BY customer_id;"
58. How do you find the highest-paid employee in each department?,"department_id = 403, max_salary = 120000","SELECT department_id, MAX(salary) as max_salary FROM employees GROUP BY department_id;"
59. How do you get the first and last order date for each customer?,"customer_id = 308, first_order_date = '2023-01-01', last_order_date = '2023-08-01'","SELECT customer_id, MIN(order_date) as first_order_date, MAX(order_date) as last_order_date FROM orders GROUP BY customer_id;"
60. How do you find all customers who have placed exactly three orders?,customer_id = 609,SELECT customer_id FROM orders GROUP BY customer_id HAVING COUNT(order_id) = 3;
61. How do you find the most recent transaction for each account?,"account_id = 707, transaction_date = '2023-08-07'","SELECT account_id, MAX(transaction_date) as most_recent_transaction FROM transactions GROUP BY account_id;"
62. How do you find employees who joined the company in 2023?,"employee_id = 412, join_date = '2023-04-01'",SELECT * FROM employees WHERE YEAR(join_date) = 2023;
63. How do you update a column value based on a condition?,Rows updated,UPDATE table_name SET column_name = new_value WHERE condition;
64. How do you find products with no sales in the last year?,product_id = 503,SELECT product_id FROM products WHERE product_id NOT IN (SELECT DISTINCT product_id FROM sales WHERE YEAR(sale_date) = 2023);
65. How do you calculate the percentage of orders delivered on time?,percentage_on_time = 85.0,SELECT (COUNT(*) FILTER (WHERE delivery_date <= estimated_delivery_date) / COUNT(*)) * 100 as percentage_on_time FROM orders;
66. How do you retrieve the top 3 most profitable products?,"product_id = 603, profit = 50000","SELECT product_id, SUM(profit) as profit FROM sales GROUP BY product_id ORDER BY profit DESC LIMIT 3;"
67. How do you find the average number of days between transactions for each account?,"account_id = 805, avg_days_between_transactions = 15","SELECT account_id, AVG(DATEDIFF(LEAD(transaction_date, 1) OVER (PARTITION BY account_id ORDER BY transaction_date), transaction_date)) as avg_days_between_transactions FROM transactions GROUP BY account_id;"
68. How do you find suppliers who have not provided any products in the last year?,supplier_id = 705,SELECT supplier_id FROM suppliers WHERE supplier_id NOT IN (SELECT DISTINCT supplier_id FROM products WHERE YEAR(provided_date) = 2023);
69. How do you calculate the total expenses for each department?,"department_id = 409, total_expenses = 750000","SELECT department_id, SUM(expenses) as total_expenses FROM expenses GROUP BY department_id;"
70. How do you find the customer with the longest account history?,"customer_id = 910, account_duration = 3650","SELECT customer_id, DATEDIFF(MAX(account_end_date), MIN(account_start_date)) as account_duration FROM accounts GROUP BY customer_id ORDER BY account_duration DESC LIMIT 1;"
71. How do you retrieve the last three orders for each customer?,"customer_id = 315, order_id = 1110","SELECT customer_id, order_id FROM (SELECT customer_id, order_id, ROW_NUMBER() OVER (PARTITION BY customer_id ORDER BY order_date DESC) as rn FROM orders) as subquery WHERE rn <= 3;"
72. How do you find customers who have never returned a product?,customer_id = 512,SELECT customer_id FROM customers WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM returns);
73. How do you calculate the average number of orders per customer per month?,"month = 7, avg_orders_per_customer = 3","SELECT MONTH(order_date) as month, AVG(order_count) as avg_orders_per_customer FROM (SELECT customer_id, MONTH(order_date) as month, COUNT(order_id) as order_count FROM orders GROUP BY customer_id, month) as subquery GROUP BY month;"
74. How do you find products that have increased in price by more than 20% in the last year?,product_id = 604,"SELECT product_id FROM products WHERE (price - LAG(price, 1) OVER (PARTITION BY product_id ORDER BY price_date)) / LAG(price, 1) OVER (PARTITION BY product_id ORDER BY price_date) > 0.20;"
75. How do you find the average number of items per order for each product category?,"category = Electronics, avg_items_per_order = 5","SELECT category, AVG(quantity) as avg_items_per_order FROM order_items GROUP BY category;"
76. How do you find the customers who have placed more than 50 orders in total?,customer_id = 613,SELECT customer_id FROM orders GROUP BY customer_id HAVING COUNT(order_id) > 50;
77. How do you calculate the total revenue from international sales?,total_international_revenue = 5000000,SELECT SUM(amount) as total_international_revenue FROM sales WHERE is_international = TRUE;
78. How do you find the most recent product added to the inventory?,"product_id = 705, added_date = '2023-08-01'","SELECT product_id, added_date FROM inventory ORDER BY added_date DESC LIMIT 1;"
79. How do you calculate the total number of orders canceled each month?,"month = 6, canceled_orders = 50","SELECT MONTH(cancellation_date) as month, COUNT(order_id) as canceled_orders FROM orders WHERE status = 'Canceled' GROUP BY month;"
80. How do you retrieve employees who have received the highest bonus in each department?,"department_id = 408, employee_id = 120, bonus = 10000","SELECT department_id, employee_id, bonus FROM (SELECT department_id, employee_id, bonus, RANK() OVER (PARTITION BY department_id ORDER BY bonus DESC) as rank FROM bonuses) as subquery WHERE rank = 1;"
"81. How do you find the top-selling product for each month, along with its sales amount?","month = 7, product_id = 306, total_sales = 250000","SELECT month, product_id, total_sales FROM (SELECT MONTH(sale_date) as month, product_id, SUM(amount) as total_sales, RANK() OVER (PARTITION BY MONTH(sale_date) ORDER BY SUM(amount) DESC) as rank FROM sales GROUP BY MONTH(sale_date), product_id) as ranked_sales WHERE rank = 1;"
82. How do you identify the longest consecutive sequence of days where a customer made purchases?,"customer_id = 402, max_consecutive_days = 5","SELECT customer_id, MAX(consecutive_days) as max_consecutive_days FROM (SELECT customer_id, COUNT(*) as consecutive_days FROM (SELECT customer_id, purchase_date, DATEDIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) as diff FROM purchases) as diffs WHERE diff = 1 GROUP BY customer_id, diff) as consecutive GROUP BY customer_id;"
83. How do you find the second most common combination of products ordered together?,"product_combination = 'A, B', order_count = 120","SELECT product_combination, order_count FROM (SELECT product_combination, COUNT(*) as order_count, RANK() OVER (ORDER BY COUNT(*) DESC) as rank FROM (SELECT GROUP_CONCAT(product_id ORDER BY product_id) as product_combination FROM order_items GROUP BY order_id) as combinations GROUP BY product_combination) as ranked_combinations WHERE rank = 2;"
84. How do you calculate the cumulative sales for each product until the current date?,"product_id = 301, cumulative_sales = 50000","SELECT product_id, SUM(amount) OVER (PARTITION BY product_id ORDER BY sale_date ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) as cumulative_sales FROM sales;"
85. How do you find the average revenue growth rate per month over a year?,"year = 2023, avg_growth_rate = 0.05","SELECT year, AVG(growth_rate) as avg_growth_rate FROM (SELECT year, month, (revenue - LAG(revenue, 1) OVER (PARTITION BY year ORDER BY month)) / LAG(revenue, 1) OVER (PARTITION BY year ORDER BY month) as growth_rate FROM (SELECT YEAR(transaction_date) as year, MONTH(transaction_date) as month, SUM(amount) as revenue FROM transactions GROUP BY year, month) as monthly_revenue) as growth_rates WHERE year = 2023 GROUP BY year;"
86. How do you identify the product with the longest duration between its first and last sale date?,"product_id = 502, duration_days = 365","SELECT product_id, DATEDIFF(MAX(sale_date), MIN(sale_date)) as duration_days FROM sales GROUP BY product_id ORDER BY duration_days DESC LIMIT 1;"
87. How do you calculate the median transaction amount for each customer?,"customer_id = 207, median_transaction = 150","SELECT customer_id, PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY amount) as median_transaction FROM transactions GROUP BY customer_id;"
88. How do you find the customers who have increased their spending by more than 50% from one year to the next?,customer_id = 603,"SELECT customer_id FROM (SELECT customer_id, SUM(amount) as year_1_amount FROM transactions WHERE YEAR(transaction_date) = 2022 GROUP BY customer_id) as year_1 JOIN (SELECT customer_id, SUM(amount) as year_2_amount FROM transactions WHERE YEAR(transaction_date) = 2023 GROUP BY customer_id) as year_2 ON year_1.customer_id = year_2.customer_id WHERE year_2_amount > 1.5 * year_1_amount;"
89. How do you determine the average time it takes for a support ticket to be resolved for each department?,"department_id = 301, avg_resolution_time = 48","SELECT department_id, AVG(TIMESTAMPDIFF(HOUR, created_at, resolved_at)) as avg_resolution_time FROM tickets WHERE status = 'Resolved' GROUP BY department_id;"
90. How do you find the products with the highest price volatility over the past year?,"product_id = 802, volatility = 0.2","SELECT product_id, (MAX(price) - MIN(price)) / AVG(price) as volatility FROM price_history WHERE YEAR(date) = 2023 GROUP BY product_id ORDER BY volatility DESC LIMIT 5;"
91. How do you calculate the month-over-month growth rate for each product category?,"category = 'Books', month = 6, growth_rate = 0.08","SELECT category, month, (revenue - LAG(revenue, 1) OVER (PARTITION BY category ORDER BY month)) / LAG(revenue, 1) OVER (PARTITION BY category ORDER BY month) as growth_rate FROM (SELECT category, MONTH(sale_date) as month, SUM(amount) as revenue FROM sales GROUP BY category, month) as monthly_revenue;"
92. How do you identify employees who have been in the same role for more than 5 years?,employee_id = 708,"SELECT employee_id FROM roles WHERE DATEDIFF(CURDATE(), start_date) > 5 * 365 AND end_date IS NULL;"
93. How do you find the top three products that contribute to the highest percentage of overall sales revenue?,"product_id = 104, contribution = 0.15","SELECT product_id, SUM(amount) / (SELECT SUM(amount) FROM sales) as contribution FROM sales GROUP BY product_id ORDER BY contribution DESC LIMIT 3;"
94. How do you determine the most popular day of the week for transactions in 2023?,"day_of_week = 'Friday', transaction_count = 25000","SELECT DAYNAME(transaction_date) as day_of_week, COUNT(*) as transaction_count FROM transactions WHERE YEAR(transaction_date) = 2023 GROUP BY day_of_week ORDER BY transaction_count DESC LIMIT 1;"
95. How do you find the average number of transactions per customer during holiday seasons?,avg_transactions = 3.5,"SELECT AVG(transaction_count) as avg_transactions FROM (SELECT customer_id, COUNT(*) as transaction_count FROM transactions WHERE MONTH(transaction_date) IN (11, 12) GROUP BY customer_id) as customer_transactions;"
96. How do you identify customers whose order value increased every month in 2023?,customer_id = 812,"SELECT customer_id FROM (SELECT customer_id, MONTH(order_date) as month, SUM(order_value) as monthly_total, LAG(SUM(order_value), 1) OVER (PARTITION BY customer_id ORDER BY MONTH(order_date)) as previous_month_total FROM orders WHERE YEAR(order_date) = 2023 GROUP BY customer_id, month) as monthly_orders WHERE monthly_total > previous_month_total GROUP BY customer_id HAVING COUNT(*) = 12;"
97. How do you find the regions with the fastest-growing customer base in 2023?,"region = 'East', growth_rate = 0.2","SELECT region, (COUNT(customer_id) - LAG(COUNT(customer_id), 1) OVER (ORDER BY MONTH(join_date))) / LAG(COUNT(customer_id), 1) OVER (ORDER BY MONTH(join_date)) as growth_rate FROM customers WHERE YEAR(join_date) = 2023 GROUP BY region, MONTH(join_date) ORDER BY growth_rate DESC LIMIT 1;"
98. How do you calculate the weighted average price of products sold based on quantity?,"product_id = 904, weighted_avg_price = 25.50","SELECT product_id, SUM(price * quantity) / SUM(quantity) as weighted_avg_price FROM sales GROUP BY product_id;"
99. How do you identify customers who have more than doubled their order frequency compared to the previous year?,customer_id = 1005,"SELECT customer_id FROM (SELECT customer_id, COUNT(order_id) / (SELECT COUNT(order_id) FROM orders WHERE YEAR(order_date) = 2022 AND customer_id = o.customer_id) as frequency_ratio FROM orders o WHERE YEAR(order_date) = 2023 GROUP BY customer_id) as frequency WHERE frequency_ratio > 2;"
100. How do you determine the top five cities with the highest average customer satisfaction scores?,"city = 'San Francisco', avg_score = 4.8","SELECT city, AVG(satisfaction_score) as avg_score FROM customer_feedback GROUP BY city ORDER BY avg_score DESC LIMIT 5;"
